,model,roc_auc,pr_auc,f1,f2,fit_time_sec,algorithm,smote,best_cv_pr_auc,best_params,fit_time_min,fit_time
LightGBM_con_smote,LightGBM_con_smote,0.9984,0.9269,0.8542,0.8433,2494.0021,LightGBM,True,0.9275,"{'classifier__class_weight': None, 'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.03, 'classifier__max_depth': -1, 'classifier__min_child_samples': 50, 'classifier__n_estimators': 600, 'classifier__num_leaves': 31, 'classifier__subsample': 0.8, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.05}",41.5667,41m 34.0s
LightGBM_sin_smote,LightGBM_sin_smote,0.9985,0.9266,0.851,0.824,396.4103,LightGBM,False,0.9261,"{'classifier__class_weight': None, 'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.03, 'classifier__max_depth': -1, 'classifier__min_child_samples': 20, 'classifier__n_estimators': 600, 'classifier__num_leaves': 31, 'classifier__subsample': 0.8}",6.6068,6m 36.4s
Stacking_top3,Stacking_top3,0.9982,0.9233,0.5687,0.7586,64.0906,Stacking,mixto,,"{'base_models': ['LightGBM_con_smote', 'LightGBM_sin_smote', 'XGBoost_sin_smote']}",1.0682,1m 04.1s
LightGBM_base,LightGBM_base,0.9982,0.9161,0.5982,0.7772,3.8144,,,,,0.0636,3.8s
XGBoost_sin_smote,XGBoost_sin_smote,0.9981,0.9121,0.5719,0.7601,59.1688,XGBoost,False,0.9156,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.07, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 600, 'classifier__scale_pos_weight': np.float64(81.5892361111111), 'classifier__subsample': 0.8}",0.9861,59.2s
XGBoost_con_smote,XGBoost_con_smote,0.9979,0.9109,0.5121,0.7161,853.3863,XGBoost,True,0.914,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.07, 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 600, 'classifier__scale_pos_weight': np.float64(81.5892361111111), 'classifier__subsample': 0.8, 'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.05}",14.2231,14m 13.4s
XGBoost_base,XGBoost_base,0.9979,0.901,0.4936,0.7031,1.849,,,,,0.0308,1.8s
RandomForest_sin_smote,RandomForest_sin_smote,0.9972,0.8966,0.6788,0.81,1326.434,RandomForest,False,0.8993,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 25, 'classifier__max_features': 0.5, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400}",22.1072,22m 06.4s
RandomForest_con_smote,RandomForest_con_smote,0.9974,0.8931,0.6725,0.8067,7074.3031,RandomForest,True,0.8928,"{'classifier__class_weight': 'balanced_subsample', 'classifier__max_depth': 25, 'classifier__max_features': 0.5, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 400, 'smote__k_neighbors': 5, 'smote__sampling_strategy': 0.05}",117.9051,1h 57m 54.3s
RandomForest_base,RandomForest_base,0.9972,0.8499,0.4475,0.6652,5.9877,,,,,0.0998,6.0s
